#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_222	34	65	95	306	70	75	45	35	26	25	58	39	28	46	48	57	73	54
OTU_223	3	1	2	2	1	3	5	2	1	2	1	2	5	0	3	0	1	3
OTU_224	21	27	16	24	14	28	27	19	25	18	30	34	20	20	15	21	13	21
OTU_225	62	72	191	25	27	64	44	32	29	43	23	20	19	25	33	31	15	21
OTU_226	14	4	14	3	0	7	16	9	35	3	6	9	4	1	10	7	6	6
OTU_227	9	15	50	4	6	10	16	13	9	14	17	7	5	7	21	36	2	16
OTU_229	54	60	62	59	17	81	83	37	47	41	41	64	43	20	54	80	28	43
OTU_23	4	3	0	1	0	2	2	0	1	0	0	1	1	2	1	2	1	2
OTU_230	668	825	415	436	235	1248	555	531	351	691	339	419	457	219	501	347	311	444
OTU_232	97	114	115	183	72	130	149	71	63	72	92	107	60	64	133	107	37	101
OTU_233	6	12	7	6	19	12	4	11	7	5	6	10	1	3	0	2	17	10
OTU_234	1	0	1	0	0	0	0	1	0	1	2	1	0	1	1	1	0	4
OTU_235	14	8	9	6	7	11	2	7	8	11	11	11	19	22	9	13	12	10
OTU_236	25	15	24	7	11	5	10	17	10	12	19	10	5	10	16	16	5	27
OTU_237	1	1	1	1	0	0	3	3	1	0	1	3	2	1	3	2	0	2
OTU_238	13	3	4	0	2	2	4	2	7	5	4	9	5	10	6	10	3	3
OTU_239	7	8	4	13	1	8	7	6	1	6	1	5	5	6	9	2	4	2
OTU_24	3	4	1	1	0	4	4	7	6	3	1	10	5	2	3	8	4	1
OTU_240	45	56	111	91	18	60	58	39	27	34	56	44	28	18	57	90	42	61
OTU_241	79	45	196	77	183	85	42	137	32	45	93	40	113	56	48	101	166	102
OTU_242	23	7	28	14	23	5	7	32	22	73	62	33	6	27	29	63	13	36
OTU_244	4	0	6	1	0	0	4	6	1	3	2	4	0	2	8	1	2	4
OTU_245	13	7	10	12	4	30	13	6	5	3	1	11	1	2	14	8	6	1
OTU_246	12	10	4	6	5	10	7	6	8	5	7	10	4	5	17	11	4	11
OTU_247	1	4	6	0	11	3	7	12	3	4	4	2	5	4	6	7	2	0
OTU_248	21	9	9	7	5	14	13	7	10	9	22	8	5	14	24	11	13	19
OTU_249	1	0	3	0	1	0	0	2	3	4	1	2	0	2	3	4	0	4
OTU_250	15	9	9	0	0	42	13	2	3	7	5	3	1	0	6	9	2	6
OTU_251	11	10	5	8	24	20	23	19	11	9	7	24	5	7	160	34	0	10
OTU_252	2	1	0	3	1	3	2	3	2	3	1	1	5	0	2	3	0	1
OTU_253	9	4	18	4	6	40	15	3	4	15	2	16	5	2	15	2	5	11
OTU_254	13	18	7	3	0	4	27	7	13	3	15	26	6	4	11	4	5	10
OTU_255	64	57	95	96	111	53	39	39	49	50	56	47	74	72	75	78	66	89
OTU_256	2	2	3	2	1	3	1	0	0	1	2	2	1	3	3	1	1	2
OTU_257	7	9	1	1	6	9	5	2	4	4	4	5	4	6	3	3	4	2
OTU_259	44	70	52	46	109	89	40	43	58	56	51	34	104	88	136	90	91	83
OTU_26	4	5	1	4	2	2	3	5	4	3	3	7	3	4	0	3	2	5
OTU_260	2	4	4	0	2	2	8	3	5	12	6	5	8	3	7	25	1	8
