 OTUID	N1_0	N2_0	N3_0	N1_40	N2_40	N3_40	N1_60	N2_60	N3_60	E1_0	E2_0	E3_0	E1_40	E2_40	E3_40	E1_60	E2_60	E3_60
OTU_1091	0	0	0	0	0	0	1	0	0	4	5	0	1	1	0	0	0	0
OTU_1614	1	2	0	1	0	0	0	0	0	0	0	2	1	0	1	1	1	0
OTU_1946	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0
OTU_1113	0	0	1	3	1	9	2	1	4	0	0	0	0	0	0	0	0	0
OTU_1647	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU_2357	0	3	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
OTU_754	0	0	0	0	6	0	0	0	0	0	0	0	0	4	1	0	1	0
OTU_1497	1	6	7	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0
OTU_386	0	0	0	0	1	0	2	0	0	0	0	0	0	43	4	3	2	1
OTU_2257	3	8	6	3	0	1	2	2	3	0	1	0	1	0	0	0	0	1
OTU_2337	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0
OTU_1354	0	0	0	0	0	0	0	0	0	1	0	0	6	2	13	2	1	0
OTU_2385	0	0	0	0	0	0	0	0	0	4	4	1	0	1	0	0	0	0
OTU_581	6	5	3	1	0	0	24	0	3	6	7	6	0	1	1	0	0	1
OTU_2798	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1924	0	3	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0
OTU_485	0	0	1	4	7	4	0	28	0	0	0	0	2	1	1	1	0	0
OTU_809	0	0	0	0	0	0	0	0	0	11	7	4	0	2	0	0	0	0
OTU_702	1	1	5	1	1	0	1	1	3	2	4	2	0	1	2	2	1	1
OTU_970	0	0	0	0	0	0	1	0	0	0	0	0	4	0	5	2	6	4
OTU_1637	0	0	1	2	1	0	0	0	0	23	8	5	0	0	1	0	0	0
OTU_645	2	3	2	4	2	5	2	5	1	2	6	3	3	0	1	1	2	1
OTU_812	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	5	10
OTU_937	0	0	2	0	2	3	0	2	2	0	0	3	3	0	2	2	1	1
OTU_1571	2	5	1	1	1	1	0	1	0	4	0	1	1	0	0	0	0	0
