$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
152    0.6071063     0.4439252     0.08405696   5.45822801649843          1
153    0.6599242     0.3993451     0.08981226   6.10206714190909          1

$index.grp
  group size ST.i.ruzicka NST.i.ruzicka MST.i.ruzicka
1  N_40    3    0.7754911     0.7086807     0.6641775
2  E_60    3    0.7966042     0.6240086     0.5674262
3   E_0    3    0.8483656     0.7366394     0.6359259
4   N_0    3    0.8968920     0.8979020     0.8290172
5  E_40    3    0.8193329     0.7380246     0.6477820
6  N_60    3    0.5373949     0.2968658     0.2625933

$index.pair.grp
   group name1 name2 C.ij.ruzicka E.ij.ruzicka ST.ij.ruzicka NST.ij.ruzicka MST.ij.ruzicka
1   N_40 N2_40 N1_40    0.5451264    0.6880771     0.6857353      0.5640174      0.5432711
2   N_40 N3_40 N1_40    0.5741138    0.6537060     0.8131138      0.7693188      0.7141128
3   N_40 N3_40 N2_40    0.5781166    0.6508391     0.8276243      0.7927058      0.7351484
4   E_60 E2_60 E3_60    0.8616670    0.5387086     0.6251935      0.2290619      0.1874843
5   E_60 E1_60 E3_60    0.6116939    0.5086071     0.8314732      0.7043500      0.6570427
6   E_60 E1_60 E2_60    0.5679919    0.5300194     0.9331461      0.9386140      0.8577517
7    E_0  E3_0  E1_0    0.6192180    0.5995418     0.9682241      1.0764197      0.9206510
8    E_0  E2_0  E1_0    0.7480107    0.6032804     0.8065131      0.6179940      0.5122830
9    E_0  E2_0  E3_0    0.7304640    0.5627200     0.7703597      0.5155044      0.4748437
10   N_0  N1_0  N2_0    0.6033808    0.6636502     0.8480421      0.8022284      0.7710272
11   N_0  N3_0  N2_0    0.6321301    0.6767568     0.8786889      0.8622508      0.8207464
12   N_0  N3_0  N1_0    0.6802328    0.6557070     0.9639449      1.0292268      0.8952780
13  E_40 E2_40 E3_40    0.4296951    0.5070635     0.8643385      0.8385810      0.7324566
14  E_40 E1_40 E3_40    0.3650704    0.5227185     0.7517078      0.5869289      0.5249982
15  E_40 E1_40 E2_40    0.5901026    0.4968384     0.8419526      0.7885639      0.6858913
16  N_60 N1_60 N3_60    0.4916732    0.6492193     0.6900693      0.5666254      0.5226102
17  N_60 N2_60 N3_60    0.1767558    0.6195578     0.4621255      0.1638728      0.1318414
