OUT	SH2	SH3	SH4	SP1	SP2	SP3
OTU1280	0	0	0	0	2	0
OTU1281	0	0	0	0	0	0
OTU1282	0	0	0	0	0	0
OTU1283	0	0	1	0	0	3
OTU1284	1	0	0	0	0	2
OTU1285	2	0	0	0	0	0
OTU1286	0	0	1	0	0	0
OTU1287	2	0	2	1	0	1
OTU1288	0	0	0	0	0	0
OTU1289	2	0	1	0	0	1
OTU129	1	0	0	46	5	1
OTU1290	0	0	0	0	0	0
OTU1291	0	0	0	0	0	0
OTU1292	0	2	0	0	0	0
OTU1293	0	0	0	0	0	0
OTU1294	0	0	0	0	1	0
OTU1295	2	0	0	0	0	0
OTU1296	0	1	0	0	1	0
OTU1297	0	0	0	0	0	0
OTU1298	0	0	0	0	2	0
OTU1299	0	0	0	0	0	0
OTU13	12	1	6	22	2	129
OTU130	1	1	2	6	0	43
OTU1300	0	0	0	1	1	1
OTU1301	0	0	2	0	0	0
OTU1302	0	0	0	0	0	0
OTU1303	0	0	2	1	0	0
OTU1304	0	0	2	0	0	0
OTU1305	1	0	1	0	0	2
OTU1306	0	0	0	0	0	0
OTU1307	0	0	0	0	0	0
OTU1308	0	1	1	0	2	0
OTU1309	0	0	1	1	2	0
OTU131	4	3	2	4	0	1
OTU1310	0	0	0	0	0	0
OTU1311	1	0	4	1	2	1
OTU1312	0	0	0	0	0	0
OTU1313	0	0	2	2	0	0
OTU1314	0	0	0	0	0	0
OTU1315	0	1	0	0	0	0
OTU1316	1	1	1	3	1	3
OTU1317	0	0	0	0	0	0
OTU1318	0	0	0	0	0	0
OTU1319	1	1	2	1	1	0
OTU132	0	0	1	3	0	40
OTU1320	0	0	0	0	0	0
OTU1321	0	0	0	0	0	0
